mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A
t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v
0.0375,1979.0907,0.233333333,2590.443977,0.4,5851.768963,0.516666667,4493.194854,0.616666667,5651.477683,0.725,9866.3063,0.808333333,6146.999268,0.891666667,9347.684205,0.979166667,11760,1.0375,11769.79184,1.104166667,13200.54544,1.170833333,8032.832626,1.229166667,14750.24068,1.283333333,14775.60151,1.341666667,11655.45366,1.404166667,15382.9516,1.45,13324.86398,1.504166667,15001.91988,1.554166667,17262.07404,1.616666667,20212.0756,1.6625,21306.33709,1.704166667,19937.70298,,,1.795833333,16560,1.8375,15438.54915,1.883333333,18606.19252,1.929166667,20229.16706,1.958333333,80.8830753,2.016666667,21267.4399
0.041666667,1979.0907,0.2375,3988.984833,0.404166667,3149.85714,0.520833333,4933.15315,0.620833333,7172.949184,0.729166667,9070.126791,0.8125,7677.186985,0.895833333,10511.47944,0.983333333,10473.73859,1.041666667,14818.90684,1.108333333,11409.46975,1.175,10627.96312,1.233333333,13573.26785,1.2875,15716.33545,1.345833333,9240.779188,1.408333333,23415.07207,1.454166667,17708.84525,1.508333333,15360.46874,1.558333333,18925.79193,1.597916667,76.29474083,1.64375,73.08125021,1.708333333,17523.69824,,,1.8,15072.30573,1.841666667,31732.00277,1.8875,22678.41264,1.933333333,22440.32085,,,2.020833333,16447.00581
0.045833333,0,0.241666667,4978.192443,0.408333333,5326.161845,0.525,6961.034406,0.625,6894.519563,0.733333333,4440,0.816666667,10680,0.9,11379.77153,0.9875,10584.51699,1.045833333,17040,1.1125,10830.62325,1.179166667,15345.93106,1.2375,13852.07566,1.291666667,13941.70721,1.35,2283.155711,1.3875,83.79019566,1.458333333,16078.65666,1.5125,19681.82918,1.5625,17386.33947,,,,,1.7125,20479.2578,,,1.779166667,77.99023094,1.822916667,75.64232648,1.866666667,81.55964199,1.9125,75.26434681,,,2.025,13901.88476
0.05,1357.64502,0.245833333,3543.557534,0.4125,7323.933369,0.529166667,6193.674192,0.629166667,6168.046692,0.7375,5920.270264,0.820833333,12108.11298,0.904166667,10097.84135,0.991666667,,1.05,10086.42652,1.116666667,11013.88215,1.183333333,24002.69985,1.241666667,17839.2825,1.295833333,13068.43525,1.354166667,1815.929514,,,1.4625,23534.68929,1.489583333,64.21974631,1.566666667,17294.9935,,,,,1.689583333,75.62870446,,,,,,,,,,,,,2.002083333,69.62503032
0.054166667,2531.402773,0.25,4669.21835,0.416666667,6643.493057,0.533333333,6497.753458,0.633333333,7255.7839,0.741666667,9351.534633,0.825,12898.74412,0.908333333,9618.731725,0.966666667,42.7600929,1.054166667,8413.703109,1.120833333,11275.53103,1.158333333,53.7254634,1.216666667,54.01031692,1.3,24978.45472,1.358333333,,,,1.4375,64.69500935,,,1.570833333,14910.93558,,,,,,,,,,,,,,,,,,,,
0.058333333,2791.128804,0.254166667,5271.811833,0.420833333,5692.099788,0.5375,7323.933369,0.6375,7949.037678,0.745833333,8072.174428,0.829166667,10805.99833,0.9125,9611.992509,,,1.027083333,47.54403615,1.125,24325.69012,,,,,1.272916667,59.59329076,1.33125,54.2384054,,,,,,,1.575,34052.3127,,,,,,,,,,,,,,,,,,,,
0.0625,2809.127979,0.258333333,4680,0.425,5326.161845,0.541666667,6638.072009,0.641666667,8314.709857,0.75,10100.69305,0.833333333,8693.169733,0.916666667,6550.725151,,,,,1.129,31467.69772,,,,,,,,,,,,,,,1.545833333,62.73044114,,,,,,,,,,,,,,,,,,,,
0.066666667,3512.94748,0.2625,5194.766597,0.429166667,4452.954076,0.545833333,4896.529383,0.645833333,10829.29361,0.754166667,10969.99544,0.8375,6370.180531,0.920833333,,,,,,1.09790625,58.59943713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070833333,4227.339589,0.266666667,4213.691968,0.433333333,3394.11255,0.55,8231.160307,0.65,9714.813431,0.758333333,,0.841666667,,0.8875,32.0654131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075,3967.266061,0.270833333,4240.943291,0.4375,5011.347124,0.554166667,10663.80795,0.654166667,5839.452029,0.722916667,32.9457503,0.80625,35.03005643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
